# Gui Licenses
| Package Name | License |
| pycryptodome | BSD LICENSE;; PUBLIC DOMAIN |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT LICENSE |
| pydantic-core | MIT LICENSE |
| pydantic-settings | MIT LICENSE |
| pydeck | APACHE LICENSE 2.0 |
| pygments | BSD LICENSE |
| pymdown-extensions | MIT LICENSE |
| pynacl | APACHE LICENSE 2.0 |
| pyparsing | MIT LICENSE |
| pypdf | BSD LICENSE |
| pyppmd | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD LICENSE |
| python-json-logger | BSD LICENSE |
| pytz | MIT LICENSE |
| pywavelets | MIT LICENSE |
| pyyaml | MIT LICENSE |
| pyzmq | BSD LICENSE |
| pyzstd | BSD LICENSE |
| qianfan | APACHE SOFTWARE LICENSE |
| referencing | MIT License |
| regex | APACHE SOFTWARE LICENSE |
| requests | APACHE SOFTWARE LICENSE |
| requests-toolbelt | APACHE SOFTWARE LICENSE |
| rfc3339-validator | MIT LICENSE |
| rfc3986-validator | MIT LICENSE |
| rich | MIT LICENSE |
| rpds-py | MIT |
| rsa | APACHE SOFTWARE LICENSE |
| s3transfer | APACHE SOFTWARE LICENSE |
| scikit-learn | BSD LICENSE |
| scipy | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| seaborn | BSD LICENSE |
| send2trash | BSD LICENSE |
| sentencepiece | APACHE SOFTWARE LICENSE |
| setuptools | MIT LICENSE |
| sgmllib3k | BSD LICENSE |
| shellingham | ISC LICENSE _ISCL_ |
| six | MIT LICENSE |
| smmap | BSD LICENSE |
| sniffio | APACHE SOFTWARE LICENSE;; MIT LICENSE |
| sortedcontainers | APACHE SOFTWARE LICENSE |
| soupsieve | MIT LICENSE |
| sqlalchemy | MIT LICENSE |
| sqlparse | BSD LICENSE |
| st-annotated-text | APACHE SOFTWARE LICENSE |
| st-theme | MIT LICENSE |
| stack-data | MIT LICENSE |
| starlette | BSD LICENSE |
| statsmodels | BSD LICENSE |
| streamlit | APACHE SOFTWARE LICENSE |
| streamlit-avatar |  |
| streamlit-camera-input-live | MIT License |
| streamlit-card | MIT LICENSE |
| streamlit-code-editor | MIT License |
| streamlit-embedcode | MIT License |
| streamlit-extras | APACHE SOFTWARE LICENSE |
| streamlit-faker | Apache License 2.0 |
| streamlit-image-coordinates | MIT LICENSE |
| streamlit-keyup | MIT License |
| streamlit-modal | BSD |
| streamlit-pandas-profiling | MIT |
| streamlit-toggle-switch | MIT License |
| streamlit-vertical-slider | MIT License |
| tabulate | MIT LICENSE |
| tblib | BSD-2-CLAUSE |
| tenacity | APACHE SOFTWARE LICENSE |
| terminado | BSD LICENSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tiktoken | MIT LICENSE |
| tinycss2 | BSD LICENSE |
| together | APACHE SOFTWARE LICENSE |
| tokenizers | APACHE SOFTWARE LICENSE |
| toml | MIT LICENSE |
| tomli | MIT LICENSE |
| tomli-w | MIT LICENSE |
| toolz | BSD LICENSE |
| tornado | APACHE SOFTWARE LICENSE |
| tqdm | MIT LICENSE;; MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| traitlets | BSD LICENSE |
| typeguard | MIT LICENSE |
| typer | MIT LICENSE |
| types-python-dateutil | APACHE SOFTWARE LICENSE |
| types-pyyaml | APACHE-2.0 |
| types-requests | APACHE SOFTWARE LICENSE |
| typing-extensions | PSF-2.0 |
| typing-inspect | MIT LICENSE |
| typing-inspection | MIT LICENSE |
| tzdata | APACHE SOFTWARE LICENSE |
| uri-template | MIT LICENSE |
| urllib3 | MIT LICENSE |
| uvicorn | BSD LICENSE |
| validators | MIT LICENSE |
| visions | BSD LICENSE |
| watchdog | APACHE SOFTWARE LICENSE |
| wcwidth | MIT LICENSE |
| webcolors | BSD LICENSE |
| webencodings | BSD LICENSE |
| websocket-client | APACHE SOFTWARE LICENSE |
| werkzeug | BSD LICENSE |
| widgetsnbextension | BSD LICENSE |
| wordcloud | MIT LICENSE |
| wrapt | BSD LICENSE |
| yarl | APACHE SOFTWARE LICENSE |
| ydata | MIT LICENSE |
| ydata-profiling | MIT LICENSE |
| zict | BSD LICENSE |
| zipp | MIT LICENSE |
| zstandard | BSD LICENSE |
