# Peakbagging performed by SNB with apollinaire (v0.13) 
# File creation date: 21/06/2021 12:19:27
# https://apollinaire.readthedocs.io/en/latest 
# Indicated splittings are projected splittings nu* = nu sin a 
# ######################
# Settings:
# nwalkers=500
# nsteps=200
# discarded_steps=100
# fit_ampFalse
# #######################
# Parameters: n, l, nu, e_nu-, e_nu+, h, e_h-, e_h+, w, e_w-, e_w+, a, e_a-, e_a+, s, e_s-, e_s+, asym, e_asym-, e_asym+
#             ., ., muHz, muHz, muHz, ppm^2/muHz, ppm^2/muHz, ppm^2/muHz, muHz, muHz, muHz, deg, deg, deg, muHz, muHz, muHz, ., ., . 
# 
17 3 2188.9976 0.7958 0.5189 1.4148 0.1376 0.1699 0.8039 0.0727 0.0885 44.8365 0.5891 0.3954 0.0781 0.0465 0.0468 0.0000 0.0000 0.0000
18 1 2198.4946 0.0466 0.0493 10.6107 1.0323 1.2745 0.8039 0.0727 0.0885 44.8365 0.5891 0.3954 0.0781 0.0465 0.0468 0.0000 0.0000 0.0000
18 2 2251.6114 0.0593 0.0568 7.1310 0.8158 0.9023 0.7735 0.0717 0.0785 45.0070 0.8361 1.0036 0.0740 0.0405 0.0371 0.0000 0.0000 0.0000
19 0 2256.9771 0.0450 0.0460 10.1871 1.1654 1.2889 0.7735 0.0717 0.0785 45.0070 0.8361 1.0036 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
18 3 2299.3796 0.1372 0.1390 2.0374 0.2331 0.2578 0.7735 0.0717 0.0785 45.0070 0.8361 1.0036 0.0740 0.0405 0.0371 0.0000 0.0000 0.0000
19 1 2308.9448 0.0316 0.0325 15.2807 1.7480 1.9334 0.7735 0.0717 0.0785 45.0070 0.8361 1.0036 0.0740 0.0405 0.0371 0.0000 0.0000 0.0000
19 2 2361.9448 0.0631 0.0583 8.9060 0.8644 0.9753 0.7648 0.0590 0.0669 45.2316 0.4645 0.4953 0.0982 0.0477 0.0392 0.0000 0.0000 0.0000
20 0 2367.0824 0.0396 0.0397 12.7229 1.2348 1.3933 0.7648 0.0590 0.0669 45.2316 0.4645 0.4953 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
19 3 2409.9207 0.2106 0.2068 2.5446 0.2470 0.2787 0.7648 0.0590 0.0669 45.2316 0.4645 0.4953 0.0982 0.0477 0.0392 0.0000 0.0000 0.0000
20 1 2419.4197 0.0366 0.0341 19.0844 1.8522 2.0899 0.7648 0.0590 0.0669 45.2316 0.4645 0.4953 0.0982 0.0477 0.0392 0.0000 0.0000 0.0000
20 2 2472.3979 0.0614 0.0577 6.1568 0.6262 0.7409 0.9048 0.0820 0.0911 45.1989 0.6652 0.6172 0.0882 0.0440 0.0411 0.0000 0.0000 0.0000
21 0 2477.0909 0.0469 0.0447 8.7954 0.8946 1.0584 0.9048 0.0820 0.0911 45.1989 0.6652 0.6172 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
20 3 2520.2758 0.1349 0.1477 1.7591 0.1789 0.2117 0.9048 0.0820 0.0911 45.1989 0.6652 0.6172 0.0882 0.0440 0.0411 0.0000 0.0000 0.0000
21 1 2529.7104 0.0475 0.0468 13.1931 1.3419 1.5875 0.9048 0.0820 0.0911 45.1989 0.6652 0.6172 0.0882 0.0440 0.0411 0.0000 0.0000 0.0000
21 2 2582.9927 0.0872 0.0835 3.3285 0.3125 0.3483 1.2821 0.1072 0.1148 44.8327 0.7792 0.8683 0.1370 0.0697 0.0628 0.0000 0.0000 0.0000
22 0 2587.4921 0.0704 0.0783 4.7550 0.4464 0.4975 1.2821 0.1072 0.1148 44.8327 0.7792 0.8683 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
21 3 2631.1469 0.4033 0.3393 0.9510 0.0893 0.0995 1.2821 0.1072 0.1148 44.8327 0.7792 0.8683 0.1370 0.0697 0.0628 0.0000 0.0000 0.0000
22 1 2640.3573 0.0710 0.0700 7.1326 0.6696 0.7463 1.2821 0.1072 0.1148 44.8327 0.7792 0.8683 0.1370 0.0697 0.0628 0.0000 0.0000 0.0000
22 2 2693.7832 0.1841 0.1902 1.0121 0.1159 0.1307 2.1569 0.2546 0.2983 45.2957 2.1655 1.3682 0.2139 0.1337 0.1621 0.0000 0.0000 0.0000
23 0 2698.0651 0.1751 0.1781 1.4459 0.1655 0.1867 2.1569 0.2546 0.2983 45.2957 2.1655 1.3682 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
22 3 2742.1592 1.0034 0.8347 0.2892 0.0331 0.0373 2.1569 0.2546 0.2983 45.2957 2.1655 1.3682 0.2139 0.1337 0.1621 0.0000 0.0000 0.0000
23 1 2751.5091 0.1732 0.1666 2.1689 0.2483 0.2800 2.1569 0.2546 0.2983 45.2957 2.1655 1.3682 0.2139 0.1337 0.1621 0.0000 0.0000 0.0000
23 2 2806.0818 1.0103 1.2023 0.3325 0.0444 0.0570 5.1704 1.0255 1.1336 44.8901 4.6540 4.3480 0.5286 0.3284 0.5004 0.0000 0.0000 0.0000
24 0 2808.3806 0.6134 0.5044 0.4751 0.0634 0.0815 5.1704 1.0255 1.1336 44.8901 4.6540 4.3480 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
23 3 2852.6872 1.5122 1.6873 0.0950 0.0127 0.0163 5.1704 1.0255 1.1336 44.8901 4.6540 4.3480 0.5286 0.3284 0.5004 0.0000 0.0000 0.0000
24 1 2862.4942 0.4637 0.4571 0.7126 0.0951 0.1222 5.1704 1.0255 1.1336 44.8901 4.6540 4.3480 0.5286 0.3284 0.5004 0.0000 0.0000 0.0000
24 2 2917.0146 2.0211 2.0678 0.1914 0.0354 0.0524 5.7538 1.7549 2.3010 42.2364 6.6042 7.0401 1.0006 0.6921 0.9230 0.0000 0.0000 0.0000
25 0 2919.7358 0.8772 0.7773 0.2734 0.0505 0.0749 5.7538 1.7549 2.3010 42.2364 6.6042 7.0401 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
24 3 2962.0397 2.6269 2.2703 0.0547 0.0101 0.0150 5.7538 1.7549 2.3010 42.2364 6.6042 7.0401 1.0006 0.6921 0.9230 0.0000 0.0000 0.0000
25 1 2974.1619 0.8985 0.8397 0.4101 0.0758 0.1124 5.7538 1.7549 2.3010 42.2364 6.6042 7.0401 1.0006 0.6921 0.9230 0.0000 0.0000 0.0000
26 3 3182.3715 3.9370 3.7534 0.0344 0.0272 0.1304 0.9085 0.8588 6.3048 43.7489 8.5030 9.7073 0.9502 0.6801 1.0934 0.0000 0.0000 0.0000
27 1 3196.6318 3.2203 3.0986 0.2581 0.2043 0.9783 0.9085 0.8588 6.3048 43.7489 8.5030 9.7073 0.9502 0.6801 1.0934 0.0000 0.0000 0.0000
